received,,Kalopsia,Altaidan,Shaman,0,,,0,"Tunic of the Artifact Guardian",40588,1,,"2022-10-10 00:00:00",19427126833398179781,,,,3,B,"2022-10-14 17:57:41",
received,,Kalopsia,Altaidan,Shaman,0,,,0,"Legplates of the Lost Protector",40635,0,,"2022-10-13 00:00:00",1665687014-3-Altaida,,,,5,D,"2022-10-14 18:04:47",
received,,Kalopsia,Altaidan,Shaman,0,,,0,"Slime Stream Bands",40282,0,,"2022-10-13 00:00:00",1665687118-7-Altaida,,,,4,C,"2022-10-14 18:04:47",
received,,Kalopsia,Altaidan,Shaman,0,,,0,"Gloves of Calculated Risk",40262,0,,"2022-10-13 00:00:00",1665687131-8-Altaida,,,,5,D,"2022-10-14 18:04:47",
received,,Kalopsia,Altaidan,Shaman,0,,,0,"Breastplate of the Lost Protector",40626,0,,"2022-10-13 00:00:00",1665691128-69-Altaid,,,,3,B,"2022-10-14 18:04:47",
received,,"Anna (Mike)",Anna,Paladin,0,,,1,"Mantle of the Lost Conqueror",40637,0,,"2022-10-09 00:00:00",19998165571124676056,,,,5,D,"2022-10-14 18:02:59","2022-10-14 18:08:39"
received,,"Anna (Mike)",Anna,Paladin,0,,,2,"Girdle of Unity",40241,0,,"2022-10-09 00:00:00",10987263671124676056,,,,5,D,"2022-10-14 18:02:59","2022-10-14 18:08:39"
received,,"Anna (Mike)",Anna,Paladin,0,,,3,"Breastplate of the Lost Conqueror",40625,0,,"2022-10-09 00:00:00",17282349121124676056,,,,3,B,"2022-10-14 18:02:59","2022-10-14 18:08:39"
received,,artemius_767,Artemiy,Mage,0,,,0,"Gauntlets of the Lost Vanquisher",40630,0,,"2022-10-10 00:00:00",32910444032737790425,,,,3,B,"2022-10-14 17:57:41",
received,,artemius_767,Artemiy,Mage,0,,,0,"Breastplate of the Lost Vanquisher",40627,0,,"2022-10-09 00:00:00",30179208482426029738,,,,3,B,"2022-10-14 18:02:59",
received,,artemius_767,Artemiy,Mage,0,,,0,"Urn of Lost Memories",40350,0,,"2022-10-09 00:00:00",20596579182426029738,,,,4,C,"2022-10-14 18:02:59",
received,,artemius_767,Artemiy,Mage,0,,,0,"Fading Glow",40245,0,,"2022-10-13 00:00:00",1665688289-29-Artemi,,,,5,D,"2022-10-14 18:04:47",
received,,artemius_767,Artemiy,Mage,0,,,0,"Punctilious Bindings",39731,0,,"2022-10-13 00:00:00",1665688536-35-Artemi,,,,5,D,"2022-10-14 18:04:47",
received,,Dagren,Beschuit,Priest,0,,,0,"Sympathetic Amice",40289,0,,"2022-10-09 00:00:00",35904439417258751150,,,,5,D,"2022-10-14 18:02:59",
received,,Dagren,Beschuit,Priest,0,,,0,"Seized Beauty",40108,0,,"2022-10-09 00:00:00",19986373257258751150,,,,5,D,"2022-10-14 18:02:59",
received,,Dagren,Beschuit,Priest,0,,,0,"Boots of Forlorn Wishes",40326,0,,"2022-10-09 00:00:00",42455850777258751150,,,,5,D,"2022-10-14 18:02:59",
received,,Dagren,Beschuit,Priest,0,,,0,"Spire of Sunset",40300,0,,"2022-10-13 00:00:00",1665686938-1-Beschui,,,,5,D,"2022-10-14 18:04:47",
received,,Dagren,Beschuit,Priest,0,,,0,"Belt of False Dignity",39735,0,,"2022-10-13 00:00:00",1665687155-11-Beschu,,,,5,D,"2022-10-14 18:04:47",
received,,Dagren,Beschuit,Priest,0,,,0,"Shawl of the Old Maid",40253,0,,"2022-10-13 00:00:00",1665689085-54-Beschu,,,,5,D,"2022-10-14 18:04:47",
received,,DonBurrito,Bulbo,Paladin,0,,,0,"Fury of the Five Flights",40431,0,,"2022-10-10 00:00:00",16103380319035073310,,,,2,A,"2022-10-14 17:57:41",
received,,DonBurrito,Bulbo,Paladin,0,,,0,"Breastplate of Tormented Rage",40203,1,,"2022-10-09 00:00:00",36868066351663906638,,,,5,D,"2022-10-14 18:02:59",
received,,DonBurrito,Bulbo,Paladin,0,,,0,"Legplates of the Lost Conqueror",40634,0,,"2022-10-09 00:00:00",22717236581663906638,,,,5,D,"2022-10-14 18:02:59",
received,,DonBurrito,Bulbo,Paladin,0,,,0,"Thrusting Bands",40186,0,,"2022-10-09 00:00:00",31543778501663906638,,,,4,C,"2022-10-14 18:02:59",
received,,DonBurrito,Bulbo,Paladin,0,,,0,"Aged Winter Cloak",40250,0,,"2022-10-09 00:00:00",44591171516639066380,,,,5,D,"2022-10-14 18:02:59",
received,,DonBurrito,Bulbo,Paladin,0,,,0,"Libram of Resurgence",40337,1,,"2022-10-13 00:00:00",1665686896-0-Bulbo,,,,5,D,"2022-10-14 18:04:47",
received,,DonBurrito,Bulbo,Paladin,0,,,0,Ruthlessness,40075,0,,"2022-10-13 00:00:00",1665688163-26-Bulbo,,,,4,C,"2022-10-14 18:04:47",
received,,Chronia,Chronia,Warlock,0,,,0,"Staff of Restraint",40455,0,,"2022-10-10 00:00:00",22315339641386233300,,,,5,D,"2022-10-14 17:57:41",
received,,Chronia,Chronia,Warlock,0,,,0,"Mantle of the Lost Conqueror",40637,0,,"2022-10-13 00:00:00",1665689029-52-Chroni,,,,5,D,"2022-10-14 18:04:47",
received,,Wookster,Clawmidia,Druid,0,,,0,"Headpiece of Reconciliation",44007,0,,"2022-10-10 00:00:00",29525887463366004984,,,,5,D,"2022-10-14 17:57:41",
received,,Wookster,Clawmidia,Druid,0,,,0,"Belt of Potent Chanting",40200,1,,"2022-10-09 00:00:00",42188445332224063257,,,,5,D,"2022-10-14 18:02:59",
received,,Wookster,Clawmidia,Druid,0,,,0,"Cowl of Innocent Delight",40247,0,,"2022-10-09 00:00:00",36521437312224063257,,,,5,D,"2022-10-14 18:02:59",
received,,Wookster,Clawmidia,Druid,0,,,0,"Shackled Cinch",40341,0,,"2022-10-09 00:00:00",23528378782224063257,,,,5,D,"2022-10-14 18:02:59",
received,,Wookster,Clawmidia,Druid,0,,,0,"Hood of the Exodus",40329,1,,"2022-10-09 00:00:00",11308496702224063257,,,,5,D,"2022-10-14 18:02:59",
received,,Wookster,Clawmidia,Druid,0,,,0,"Desecrated Past",40285,1,,"2022-10-13 00:00:00",1665687039-4-Clawmid,,,,5,D,"2022-10-14 18:04:47",
received,,Wookster,Clawmidia,Druid,0,,,0,"Gloves of the Dancing Bear",40238,1,,"2022-10-13 00:00:00",1665687140-9-Clawmid,,,,5,D,"2022-10-14 18:04:47",
received,,Wookster,Clawmidia,Druid,0,,,0,"Gloves of Fast Reactions",40362,1,,"2022-10-13 00:00:00",1665691181-71-Clawmi,,,,5,D,"2022-10-14 18:04:47",
received,,Wookster,Clawmidia,Druid,0,,,0,"Legguards of the Boneyard",40379,0,,"2022-10-13 00:00:00",1665691191-72-Clawmi,,,,5,D,"2022-10-14 18:04:47",
received,,Keggy18,Drukeg,Druid,0,,"Lets gooo",0,"Lost Jewel",40080,0,,"2022-10-09 00:00:00",13513708292862592071,,,,5,D,"2022-10-14 18:02:59",
received,,Keggy18,Drukeg,Druid,0,,"Lets gooo",0,"Cowl of the Perished",39768,0,,"2022-10-09 00:00:00",11163704732862592071,,,,5,D,"2022-10-14 18:02:59",
received,,Keggy18,Drukeg,Druid,0,,"Lets gooo",0,"Legguards of the Boneyard",40379,0,,"2022-10-09 00:00:00",17155452882862592071,,,,5,D,"2022-10-14 18:02:59",
received,,Keggy18,Drukeg,Druid,0,,"Lets gooo",0,"Accursed Spine",40192,0,,"2022-10-13 00:00:00",1665688319-30-Drukeg,,,,4,C,"2022-10-14 18:04:47",
received,,Keggy18,Drukeg,Druid,0,,"Lets gooo",0,"Swarm Bindings",39722,0,,"2022-10-13 00:00:00",1665688480-34-Drukeg,,,,6,F,"2022-10-14 18:04:47",
received,,Esmerálda,Esmerálda,Rogue,0,,,1,"Hood of the Exodus",40329,0,,"2022-10-13 00:00:00",1665688958-49-Esmerá,,,,5,D,"2022-10-14 18:04:47","2022-10-15 13:18:50"
received,,Esmerálda,Esmerálda,Rogue,0,,,2,"Strong-Handed Ring",40074,0,,"2022-10-13 00:00:00",1665688133-24-Esmerá,,,,4,C,"2022-10-14 18:04:47","2022-10-15 13:18:50"
received,,Esmerálda,Esmerálda,Rogue,0,,,3,"Gauntlets of the Lost Vanquisher",40630,0,,"2022-10-10 00:00:00",36911052130827432660,,,,3,B,"2022-10-14 17:57:41","2022-10-15 13:18:50"
received,,Esmerálda,Esmerálda,Rogue,0,,,4,"Spinning Fate",40190,0,,"2022-10-09 00:00:00",30097099832770982579,,,,5,D,"2022-10-14 18:02:59","2022-10-15 13:18:50"
received,,Esmerálda,Esmerálda,Rogue,0,,,5,"Sinner's Bindings",39765,0,,"2022-10-09 00:00:00",99218907427709825790,,,,4,C,"2022-10-14 18:02:59","2022-10-15 13:18:50"
received,,Esmerálda,Esmerálda,Rogue,0,,,6,Murder,40368,1,,"2022-10-09 00:00:00",42765502592770982579,,,,4,C,"2022-10-14 18:02:59","2022-10-15 13:18:50"
received,,Esmerálda,Esmerálda,Rogue,0,,,7,Dawnwalkers,39701,0,,"2022-10-09 00:00:00",33674053452770982579,,,,4,C,"2022-10-14 18:02:59","2022-10-15 13:18:50"
received,,xentric,Exxen,"Death Knight",0,,,0,"Legplates of Sovereignty",40589,0,,"2022-10-10 00:00:00",21156244687680724920,,,,3,B,"2022-10-14 17:57:41",
received,,xentric,Exxen,"Death Knight",0,,,0,"Split Greathammer",40264,1,,"2022-10-09 00:00:00",12916921221528471799,,,,4,C,"2022-10-14 18:02:59",
received,,xentric,Exxen,"Death Knight",0,,,0,"Ablative Chitin Girdle",39759,0,,"2022-10-09 00:00:00",27275662615284717990,,,,4,C,"2022-10-14 18:02:59",
received,,xentric,Exxen,"Death Knight",0,,,0,Heritage,40069,0,,"2022-10-09 00:00:00",16913546241528471799,,,,5,D,"2022-10-14 18:02:59",
received,,xentric,Exxen,"Death Knight",0,,,0,"Bracers of the Unholy Knight",40306,0,,"2022-10-13 00:00:00",1665687274-17-Exxen,,,,4,C,"2022-10-14 18:04:47",
received,,xentric,Exxen,"Death Knight",0,,,0,"Breastplate of the Lost Vanquisher",40627,0,,"2022-10-13 00:00:00",1665688602-37-Exxen,,,,3,B,"2022-10-14 18:04:47",
received,,xentric,Exxen,"Death Knight",0,,,0,"Legplates of Double Strikes",40318,1,,"2022-10-13 00:00:00",1665688805-44-Exxen,,,,5,D,"2022-10-14 18:04:47",
received,,Fons,Fons,Paladin,0,,,1,"Wall of Terror",40400,0,,"2022-10-13 00:00:00",1665691003-64-Fons,,,,1,S,"2022-10-14 18:04:47","2022-10-15 13:56:22"
received,,Fons,Fons,Paladin,0,,,2,"Bindings of the Hapless Prey",39764,0,,"2022-10-13 00:00:00",1665688049-23-Fons,,,,5,D,"2022-10-14 18:04:47","2022-10-15 13:56:22"
received,,Fons,Fons,Paladin,0,,,3,Heritage,40069,0,,"2022-10-13 00:00:00",1665687314-19-Fons,,,,5,D,"2022-10-14 18:04:47","2022-10-15 13:56:22"
received,,Fons,Fons,Paladin,0,,,4,"Last Laugh",40402,0,,"2022-10-09 00:00:00",30245977951041809029,,,,1,S,"2022-10-14 18:02:59","2022-10-15 13:56:22"
received,,Fons,Fons,Paladin,0,,,5,"Inexorable Sabatons",39717,0,,"2022-10-09 00:00:00",31132103911041809029,,,,5,D,"2022-10-14 18:02:59","2022-10-15 13:56:22"
received,,Fons,Fons,Paladin,0,,,6,"Sand-Worn Band",40107,0,,"2022-10-09 00:00:00",37995914071041809029,,,,4,C,"2022-10-14 18:02:59","2022-10-15 13:56:22"
received,,Frostydisc,Frostydisc,"Death Knight",0,,,0,"Shoulderguards of the Undaunted",40414,0,,"2022-10-09 00:00:00",94017882515181209170,,,,5,D,"2022-10-14 18:02:59",
received,,Frostydisc,Frostydisc,"Death Knight",0,,,0,"Girdle of Razuvious",40317,0,,"2022-10-09 00:00:00",85425142315181209170,,,,5,D,"2022-10-14 18:02:59",
received,,Frostydisc,Frostydisc,"Death Knight",0,,,0,"Mantle of the Lost Vanquisher",40639,0,,"2022-10-13 00:00:00",1665688732-41-Frosty,,,,5,D,"2022-10-14 18:04:47",
received,,Frostydisc,Frostydisc,"Death Knight",0,,,0,Heritage,40069,1,,"2022-10-13 00:00:00",1665689348-55-Frosty,,,,5,D,"2022-10-14 18:04:47",
received,,PK(Gözzcabin),Gözzcabin,Shaman,0,,,0,"Cincture of Polarity",40301,0,,"2022-10-09 00:00:00",38992545832762873467,,,,5,D,"2022-10-14 18:02:59",
received,,PK(Gözzcabin),Gözzcabin,Shaman,0,,,0,"Crown of the Lost Protector",40632,0,,"2022-10-09 00:00:00",37215765827628734670,,,,3,B,"2022-10-14 18:02:59",
received,,PK(Gözzcabin),Gözzcabin,Shaman,0,,,0,"Mantle of the Lost Protector",40638,0,,"2022-10-09 00:00:00",13498559527628734670,,,,5,D,"2022-10-14 18:02:59",
received,,PK(Gözzcabin),Gözzcabin,Shaman,0,,,0,"Breastplate of the Lost Protector",40626,0,,"2022-10-09 00:00:00",30977273122762873467,,,,3,B,"2022-10-14 18:02:59",
received,,PK(Gözzcabin),Gözzcabin,Shaman,0,,,0,"Bands of Mutual Respect",40324,0,,"2022-10-13 00:00:00",1665688464-33-Gözzca,,,,5,D,"2022-10-14 18:04:47",
received,,PK(Gözzcabin),Gözzcabin,Shaman,0,,,0,"Breastplate of the Lost Protector",40626,1,,"2022-10-13 00:00:00",1665691168-70-Gözzca,,,,3,B,"2022-10-14 18:04:47",
received,,Eraser34(Gazozas),Holyfrizbie,Paladin,0,,,0,"Libram of Resurgence",40337,1,,"2022-10-09 00:00:00",23060439662294084339,,,,5,D,"2022-10-14 18:02:59",
received,,Eraser34(Gazozas),Holyfrizbie,Paladin,0,,,0,"Ring of Decaying Beauty",40375,0,,"2022-10-09 00:00:00",10970570822294084339,,,,5,D,"2022-10-14 18:02:59",
received,,Eraser34(Gazozas),Holyfrizbie,Paladin,0,,,0,"Poignant Sabatons",40187,0,,"2022-10-13 00:00:00",1665688891-47-Holyfr,,,,5,D,"2022-10-14 18:04:47",
received,,Eraser34(Gazozas),Holyfrizbie,Paladin,0,,,0,"Noble Birthright Pauldrons",40377,0,,"2022-10-13 00:00:00",1665691120-68-Holyfr,,,,5,D,"2022-10-14 18:04:47",
received,,Eraser34(Gazozas),Holyfrizbie,Paladin,0,,,0,"Heroic Key to the Focusing Iris",44577,0,,"2022-10-13 00:00:00",1665691276-73-Holyfr,,,,2,A,"2022-10-14 18:04:47",
received,,Kalamonto,Hulmotto,Priest,0,,,0,"The Sanctum's Flowing Vestments",44002,0,,"2022-10-10 00:00:00",22866833953964600138,,,,3,B,"2022-10-14 17:57:41",
received,,Kalamonto,Hulmotto,Priest,0,,,0,"Seized Beauty",40108,0,,"2022-10-09 00:00:00",40559803024300321540,,,,5,D,"2022-10-14 18:02:59",
received,,Kalamonto,Hulmotto,Priest,0,,,0,"Shroud of Luminosity",40251,0,,"2022-10-13 00:00:00",1665687205-14-Hulmot,,,,5,D,"2022-10-14 18:04:47",
received,,Kalamonto,Hulmotto,Priest,0,,,0,"Robes of Mutation",40602,0,,"2022-10-13 00:00:00",1665689063-53-Hulmot,,,,5,D,"2022-10-14 18:04:47",
received,,Kalamonto,Hulmotto,Priest,0,,,0,"Urn of Lost Memories",40350,0,,"2022-10-13 00:00:00",1665690993-63-Hulmot,,,,4,C,"2022-10-14 18:04:47",
received,,Leylin,Leylen,Warlock,0,,,0,"Leggings of the Wanton Spellcaster",40560,0,,"2022-10-10 00:00:00",99559663542837622870,,,,3,B,"2022-10-14 17:57:41",
received,,Leylin,Leylen,Warlock,0,,,0,"Boots of Persuasion",40269,0,,"2022-10-09 00:00:00",37293947443141820572,,,,5,D,"2022-10-14 18:02:59",
received,,Leylin,Leylen,Warlock,0,,,0,"Cincture of Polarity",40301,0,,"2022-10-13 00:00:00",1665688432-32-Leylen,,,,5,D,"2022-10-14 18:04:47",
received,,najan,Najjan,Druid,0,,,0,"Grim Toll",40256,0,,"2022-10-09 00:00:00",32373788853867087983,,,,2,A,"2022-10-14 18:02:59",
received,,najan,Najjan,Druid,0,,,0,"Cover of Silence",40296,0,,"2022-10-09 00:00:00",32871254703867087983,,,,5,D,"2022-10-14 18:02:59",
received,,najan,Najjan,Druid,0,,,0,"Dragon Hide Bag",43345,0,,"2022-10-09 00:00:00",11498965293867087983,,,,,,"2022-10-14 18:02:59",
received,,najan,Najjan,Druid,0,,,0,"Gloves of the Lost Vanquisher",40615,0,,"2022-10-09 00:00:00",16674392323867087983,,,,,,"2022-10-14 18:02:59",
received,,najan,Najjan,Druid,0,,,0,"Defender's Code",40257,1,,"2022-10-13 00:00:00",1665688025-22-Najjan,,,,6,F,"2022-10-14 18:04:47",
received,,najan,Najjan,Druid,0,,,0,"Tunic of Indulgence",40277,0,,"2022-10-13 00:00:00",1665688746-42-Najjan,,,,5,D,"2022-10-14 18:04:47",
received,,najan,Najjan,Druid,0,,,0,"Legplates of the Lost Vanquisher",40636,0,,"2022-10-13 00:00:00",1665688783-43-Najjan,,,,5,D,"2022-10-14 18:04:47",
received,,Kokefa,Nalandra,Druid,0,,,0,"Dislocating Handguards",39727,0,,"2022-10-09 00:00:00",49163220917150952960,,,,5,D,"2022-10-14 18:02:59",
received,,Kokefa,Nalandra,Druid,0,,,0,"Aged Winter Cloak",40250,0,,"2022-10-09 00:00:00",67941534217150952960,,,,5,D,"2022-10-14 18:02:59",
received,,Kokefa,Nalandra,Druid,0,,,0,"Journey's End",40388,0,,"2022-10-13 00:00:00",1665690959-61-Naland,,,,1,S,"2022-10-14 18:04:47",
received,,Kokefa,Nalandra,Druid,0,,,0,"Crown of the Lost Vanquisher",40633,0,,"2022-10-13 00:00:00",1665691074-65-Naland,,,,3,B,"2022-10-14 18:04:47",
received,,beecees,Personal,Rogue,0,,,0,Dawnwalkers,39701,0,,"2022-10-13 00:00:00",1665687087-6-Persona,,,,4,C,"2022-10-14 18:04:47",
received,,beecees,Personal,Rogue,0,,,0,"Strong-Handed Ring",40074,0,,"2022-10-13 00:00:00",1665688138-25-Person,,,,4,C,"2022-10-14 18:04:47",
received,,beecees,Personal,Rogue,0,,,0,"Dislocating Handguards",39727,0,,"2022-10-13 00:00:00",1665688555-36-Person,,,,5,D,"2022-10-14 18:04:47",
received,,beecees,Personal,Rogue,0,,,0,"Envoy of Mortality",40385,0,,"2022-10-13 00:00:00",1665690972-62-Person,"S for hunter / hunter prio obviously",,,4,C,"2022-10-14 18:04:47",
received,,Pocketkings,Pocketkîngs,"Death Knight",0,,,0,"Aged Winter Cloak",40250,0,,"2022-10-09 00:00:00",32881057713915201634,,,,5,D,"2022-10-14 18:02:59",
received,,Pocketkings,Pocketkîngs,"Death Knight",0,,,0,"Widow's Fury",39730,0,,"2022-10-09 00:00:00",40357937339152016340,,,,4,C,"2022-10-14 18:02:59",
received,,Pocketkings,Pocketkîngs,"Death Knight",0,,,0,"Breastplate of Tormented Rage",40203,1,,"2022-10-09 00:00:00",44475268739152016340,,,,5,D,"2022-10-14 18:02:59",
received,,Pocketkings,Pocketkîngs,"Death Knight",0,,,0,"Signet of the Accord",40426,0,,"2022-10-09 00:00:00",29207848713915201634,,,,,,"2022-10-14 18:02:59",
received,,Pocketkings,Pocketkîngs,"Death Knight",0,,,0,"Icy Blast Amulet",40369,0,,"2022-10-13 00:00:00",1665691113-67-Pocket,,,,5,D,"2022-10-14 18:04:47",
received,,"Tasos (Garp)",Proserpere,"Death Knight",0,,,1,"Iron-Spring Jumpers",40206,0,,"2022-10-13 00:00:00",1665687074-5-Proserp,,,,5,D,"2022-10-14 18:04:47","2022-10-15 14:09:25"
received,,"Tasos (Garp)",Proserpere,"Death Knight",0,,,2,"Mantle of the Lost Vanquisher",40639,0,,"2022-10-13 00:00:00",1665688713-40-Proser,,,,5,D,"2022-10-14 18:04:47","2022-10-15 14:09:25"
received,,Nighty,Silvermight,Paladin,0,,,0,"Libram of Tolerance",40268,0,,"2022-10-09 00:00:00",23199543612526509900,,,,5,D,"2022-10-14 18:02:59",
received,,Nighty,Silvermight,Paladin,0,,,0,"Bracers of Liberation",40274,0,,"2022-10-09 00:00:00",36987432482526509900,,,,5,D,"2022-10-14 18:02:59",
received,,Nighty,Silvermight,Paladin,0,,,0,"Helm of Diminished Pride",39760,0,,"2022-10-13 00:00:00",1665687378-20-Silver,,,,6,F,"2022-10-14 18:04:47",
received,,Nighty,Silvermight,Paladin,0,,,0,"Boots of Septic Wounds",40270,0,,"2022-10-13 00:00:00",1665688923-48-Silver,,,,5,D,"2022-10-14 18:04:47",
received,,Nighty,Silvermight,Paladin,0,,,0,"Quivering Tunic",40061,0,,"2022-10-13 00:00:00",1665689373-57-Silver,,,,5,D,"2022-10-14 18:04:47",
received,,Nighty,Silvermight,Paladin,0,,,0,"Shoulderguards of the Undaunted",40414,1,,"2022-10-13 00:00:00",1665689389-58-Silver,,,,5,D,"2022-10-14 18:04:47",
received,,Nighty,Silvermight,Paladin,0,,,0,"Epaulets of the Grieving Servant",39725,0,,"2022-10-13 00:00:00",1665689397-59-Silver,,,,5,D,"2022-10-14 18:04:47",
received,,Surf,Surfer,Priest,0,,,0,"Breastplate of the Lost Conqueror",40625,0,,"2022-10-09 00:00:00",35373401673237421500,,,,3,B,"2022-10-14 18:02:59",
received,,Surf,Surfer,Priest,0,,,0,"Gothik's Cowl",40339,0,,"2022-10-13 00:00:00",1665688977-50-Surfer,,,,5,D,"2022-10-14 18:04:47",
received,,Tandel,Tandel,Druid,0,,,0,"Heroic Key to the Focusing Iris",44577,0,,"2022-10-09 00:00:00",21414034641810106295,,,,2,A,"2022-10-14 18:02:59",
received,,Tandel,Tandel,Druid,0,,,0,"Idol of the Shooting Star",40321,0,,"2022-10-09 00:00:00",13660050451810106295,,,,4,C,"2022-10-14 18:02:59",
received,,Tandel,Tandel,Druid,0,,,0,"Dying Curse",40255,0,,"2022-10-13 00:00:00",1665688206-27-Tandel,,,,2,A,"2022-10-14 18:04:47",
received,,Tandel,Tandel,Druid,0,,,0,"Crown of the Lost Vanquisher",40633,0,,"2022-10-13 00:00:00",1665691083-66-Tandel,,,,3,B,"2022-10-14 18:04:47",
received,,ZiZi,vereessa,Mage,0,,,0,"Crown of the Lost Vanquisher",40633,0,,"2022-10-09 00:00:00",66825367226298170000,,,,3,B,"2022-10-14 18:02:59",
received,,ArKaine,Vorne,Warlock,0,,,0,"Mantle of the Locusts",39719,0,,"2022-10-09 00:00:00",34367747432183772191,,,,5,D,"2022-10-14 18:02:59",
received,,ArKaine,Vorne,Warlock,0,,,0,"Gemmed Wand of the Nerubians",39712,0,,"2022-10-13 00:00:00",1665688224-28-Vorne,,,,4,C,"2022-10-14 18:04:47",
received,,ArKaine,Vorne,Warlock,0,,,0,"Ousted Bead Necklace",40412,0,,"2022-10-13 00:00:00",1665689005-51-Vorne,,,,6,F,"2022-10-14 18:04:47",
